system:index,LAI,date,timestamp,.geo
2024_01_01,0.354314721,2024/1/1,1.70E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_01_09,0.694923858,2024/1/9,1.70E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_01_17,0.658883249,2024/1/17,1.71E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_01_25,0.695431472,2024/1/25,1.71E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_02_02,0.63857868,2024/2/2,1.71E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_02_10,0.54213198,2024/2/10,1.71E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_02_18,0.537055838,2024/2/18,1.71E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_02_26,0.515228426,2024/2/26,1.71E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_03_05,0.591878173,2024/3/5,1.71E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_03_13,0.263959391,2024/3/13,1.71E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_03_21,0.562944162,2024/3/21,1.71E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_03_29,0.493908629,2024/3/29,1.71E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_04_06,0.411167513,2024/4/6,1.71E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_04_14,0.460913706,2024/4/14,1.71E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_04_22,0.331472081,2024/4/22,1.71E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_04_30,0.334010152,2024/4/30,1.71E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_05_08,0.452284264,2024/5/8,1.72E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_05_16,0.321319797,2024/5/16,1.72E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_05_24,0.37715736,2024/5/24,1.72E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_06_01,0.340609137,2024/6/1,1.72E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_06_09,0.47106599,2024/6/9,1.72E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_06_17,0.570558376,2024/6/17,1.72E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_06_25,0.505583756,2024/6/25,1.72E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_07_03,0.540609137,2024/7/3,1.72E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_07_11,0.1,2024/7/11,1.72E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_07_19,0.616243655,2024/7/19,1.72E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_07_27,0.58680203,2024/7/27,1.72E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_08_04,0.466497462,2024/8/4,1.72E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_08_12,0.64213198,2024/8/12,1.72E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_08_20,0.845177665,2024/8/20,1.72E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_08_28,0.752284264,2024/8/28,1.72E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_09_05,0.584771574,2024/9/5,1.73E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_09_13,0.556852792,2024/9/13,1.73E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_09_21,0.376649746,2024/9/21,1.73E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_09_29,0.622335025,2024/9/29,1.73E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_10_07,0.498477157,2024/10/7,1.73E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_10_15,0.354314721,2024/10/15,1.73E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_10_23,0.581725888,2024/10/23,1.73E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_10_31,0.365482234,2024/10/31,1.73E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_11_08,0.572588832,2024/11/8,1.73E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_11_16,0.494923858,2024/11/16,1.73E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_11_24,0.513705584,2024/11/24,1.73E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_12_02,0.654314721,2024/12/2,1.73E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_12_10,0.576649746,2024/12/10,1.73E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_12_18,0.60964467,2024/12/18,1.73E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_12_26,0.55177665,2024/12/26,1.74E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_01_01,0.494923858,2025/1/1,1.74E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_01_09,0.539593909,2025/1/9,1.74E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_01_17,0.45177665,2025/1/17,1.74E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_01_25,0.56142132,2025/1/25,1.74E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_02,0.536040609,2025/2/2,1.74E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_10,0.45177665,2025/2/10,1.74E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_18,0.38680203,2025/2/18,1.74E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_26,0.452791878,2025/2/26,1.74E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_06,0.460913706,2025/3/6,1.74E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_14,0.39035533,2025/3/14,1.74E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_22,0.397461929,2025/3/22,1.74E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_30,0.494923858,2025/3/30,1.74E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_04_07,0.416751269,2025/4/7,1.74E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_04_15,0.405583756,2025/4/15,1.74E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_04_23,0.43857868,2025/4/23,1.75E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_05_01,0.359898477,2025/5/1,1.75E+12,"{""type"":""MultiPoint"",""coordinates"":[]}"
