date_truth,lai_truth,date_viirs,lai_raw,lai_pred_calibrated,error_after_calib,abs_error_after_calib
2025-03-21,2.865,2025-03-22,0.3974619289340101,2.865,0.0,0.0
2025-04-11,5.694,2025-04-07,0.416751269035533,5.001015228426396,-0.6929847715736042,0.6929847715736042
2025-04-25,5.0,2025-04-23,0.4385786802030456,5.0,0.0,0.0
2025-05-13,5.799,2025-05-09,0.2974619289340102,3.5695431472081225,-2.229456852791878,2.229456852791878
2025-05-26,6.231,2025-05-25,0.3964467005076142,4.757360406091371,-1.4736395939086293,1.4736395939086293
2025-07-16,2.444,2025-07-12,0.6644670050761421,2.444,0.0,0.0
2025-08-03,4.317,2025-08-05,0.848223350253807,4.317,0.0,0.0
2025-08-17,3.31,2025-08-13,0.8324873096446701,3.31,0.0,0.0
2025-09-02,2.244,2025-08-29,0.6844444444444445,2.244,0.0,0.0
2025-09-15,2.301,2025-09-14,1.2487309644670053,2.301,0.0,0.0
